"No.","Time","Source","Destination","Protocol","Length","Info"
"8899","24.329334982","192.168.163.128","121.53.218.13","HTTP","821","GET /data/pc/cms/webtoon_home_bottom_banner?timeStamp=1582528343024 HTTP/1.1 "
"8903","24.330393175","192.168.163.128","121.53.218.13","HTTP","815","GET /data/pc/webtoon/list_recent_view?timeStamp=1582528343024 HTTP/1.1 "
"8905","24.332211605","121.53.218.13","192.168.163.128","HTTP","315","HTTP/1.1 200 OK  (application/json)"
"8912","24.348459310","192.168.163.128","203.217.238.37","HTTP","470","GET /img-contents/webtoon/PC/wt_minidaum_20170908.png HTTP/1.1 "
"8916","24.349879366","121.53.218.13","192.168.163.128","HTTP","365","HTTP/1.1 200 OK  (text/html)"
"8920","24.351622031","121.53.218.13","192.168.163.128","HTTP","478","HTTP/1.1 200 OK  (application/json)"
"8922","24.352053302","203.217.238.37","192.168.163.128","HTTP","252","HTTP/1.1 304 Not Modified "
"8923","24.352772049","121.53.218.13","192.168.163.128","HTTP","313","HTTP/1.1 200 OK  (application/json)"
"8925","24.352982610","121.53.218.13","192.168.163.128","HTTP","872","HTTP/1.1 200 OK  (application/json)"
"8957","24.375122619","192.168.163.128","203.217.227.142","HTTP","524","GET /svc/original/U0301/cssjs/cartoon/20160829185520/common.css HTTP/1.1 "
"8981","24.385794215","203.217.227.142","192.168.163.128","HTTP","5099","HTTP/1.1 200 OK  (text/css)"
"8995","24.399910044","192.168.163.128","113.29.189.194","HTTP","951","GET /v2/content_view?age=&content_id=1847&userid=&content_type=webtoon&gender=&platform=pc&version=&uuid=2UQrCrbkHVB_190102133526643 HTTP/1.1 "
"8999","24.410015980","113.29.189.194","192.168.163.128","HTTP","60","HTTP/1.1 200   (text/plain)"
"9034","24.424347839","121.53.218.13","192.168.163.128","HTTP","2222","HTTP/1.1 200 OK  (application/json)"
"9038","24.432398840","192.168.163.128","203.217.238.37","HTTP","415","GET /img-section/cartoon/webtoon2015/bg_line.png HTTP/1.1 "
"9039","24.432477370","192.168.163.128","203.217.238.37","HTTP","422","GET /img-section/cartoon/webtoon2015/bg_comm_151111.png HTTP/1.1 "
"9040","24.432525111","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/c630be2009d61c114d26099bafd16dc368ad8d0f HTTP/1.1 "
"9050","24.436513809","203.217.238.37","192.168.163.128","HTTP","997","HTTP/1.1 200 OK  (PNG)"
"9064","24.438823593","183.111.43.34","192.168.163.128","HTTP","60","HTTP/1.1 200 OK  (PNG)"
"9122","24.450657821","192.168.163.128","203.217.238.37","HTTP","421","GET /img-section/cartoon/webtoon2015/bg_other_list.gif HTTP/1.1 "
"9147","24.454120774","203.217.238.37","192.168.163.128","HTTP","2418","HTTP/1.1 200 OK  (GIF89a)"
"9157","24.455189939","192.168.163.128","121.53.218.13","HTTP","771","GET /data/pc/cms/webtoon_view_banner?timeStamp=1582528343024 HTTP/1.1 "
"9298","24.481676757","121.53.218.13","192.168.163.128","HTTP","535","HTTP/1.1 200 OK  (application/json)"
"9368","24.493886124","203.217.238.37","192.168.163.128","HTTP","1937","HTTP/1.1 200 OK  (PNG)"
"9369","24.503727201","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/cc0dc641e93ffb0bb0aa26b68b159f03b7e4d391 HTTP/1.1 "
"9452","24.521353222","183.111.43.34","192.168.163.128","HTTP","2261","HTTP/1.1 200 OK  (PNG)"
"9456","24.533693484","192.168.163.128","121.53.218.13","HTTP","852","GET /webtoon/save_viewer HTTP/1.1 "
"9457","24.533757936","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/6cb743ee0e5ca6735c071acb5b0820250b389581 HTTP/1.1 "
"9460","24.533903553","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/f7f0116d4f878952af3e41915bc31ee3cd83836d HTTP/1.1 "
"9461","24.533971092","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/2db202cbb561c4e6515877828490ed02d16262e8 HTTP/1.1 "
"9464","24.534149461","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/5d15e5628e1cd39ea9642bbc08cde759c486f6f1 HTTP/1.1 "
"9466","24.534684339","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/ff455fe7f3cf441c9b5ea13500c7e3d09b6240c8 HTTP/1.1 "
"9467","24.534743241","192.168.163.128","211.231.100.117","HTTP","484","GET /svc/image/U03/cartoon/56AB1AD50213920001 HTTP/1.1 "
"9502","24.539714448","183.111.43.34","192.168.163.128","HTTP","1794","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9506","24.540355898","211.231.100.117","192.168.163.128","HTTP","4023","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9509","24.540384081","121.53.218.13","192.168.163.128","HTTP","1066","HTTP/1.1 200 OK  (text/html)"
"9517","24.541486629","183.111.43.34","192.168.163.128","HTTP","997","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9528","24.542562936","183.111.43.34","192.168.163.128","HTTP","1982","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9530","24.542582934","183.111.43.34","192.168.163.128","HTTP","1263","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9545","24.554912401","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/5cf526ae8cfc288ac38217c7444941f9a86cd0ae HTTP/1.1 "
"9565","24.560164727","183.111.43.34","192.168.163.128","HTTP","1247","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9570","24.561711385","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/3e153fbc2dc47030bdf1ac106c3c8220fcfb0e21 HTTP/1.1 "
"9574","24.562732517","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/2794590ca606cca63f7bdb2c9f3c2bbe1797d5b3 HTTP/1.1 "
"9580","24.563584448","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/6ca7cd8c26381c5ef00b7e1e61a4fa50427ff922 HTTP/1.1 "
"9581","24.563649331","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/caec4475dffe15245900a381d4893cff14f9b756 HTTP/1.1 "
"9584","24.563921770","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/1c66283de8d87f7afe4996a5d6157c676a0beb2c HTTP/1.1 "
"9594","24.565574559","183.111.43.34","192.168.163.128","HTTP","3479","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9596","24.566129700","192.168.163.128","183.111.43.34","HTTP","487","GET /webtoon/op/5e818204064259879ac092da6509304b5d23b527 HTTP/1.1 "
"9616","24.569333570","183.111.43.34","192.168.163.128","HTTP","2908","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9622","24.570126518","183.111.43.34","192.168.163.128","HTTP","1611","HTTP/1.1 200 OK  (JPEG JFIF image)"
"9631","24.571128274","183.111.43.34","192.168.163.128","HTTP","2733","HTTP/1.1 200 OK  (JPEG JFIF image)"
